Date,Price
25-06-2020,21506.15
26-06-2020,21592.05
29-06-2020,21359.00
30-06-2020,21370.15
01-07-2020,21977.60
02-07-2020,21953.20
03-07-2020,21852.40
06-07-2020,22198.95
07-07-2020,22628.00
08-07-2020,22584.65
09-07-2020,22907.20
10-07-2020,22398.45
13-07-2020,22089.25
14-07-2020,21392.20
15-07-2020,21340.75
16-07-2020,21597.15
17-07-2020,21966.80
20-07-2020,22321.85
21-07-2020,22782.00
22-07-2020,22882.60
23-07-2020,23083.90
24-07-2020,22662.05
27-07-2020,21848.75
28-07-2020,22105.20
29-07-2020,22076.60
30-07-2020,21646.85
31-07-2020,21640.05
03-08-2020,21072.10
04-08-2020,21490.50
05-08-2020,21509.95
06-08-2020,21642.60
07-08-2020,21754.00
10-08-2020,21900.25
11-08-2020,22227.20
12-08-2020,22264.00
13-08-2020,22196.35
14-08-2020,21679.40
17-08-2020,21700.85
18-08-2020,22170.60
19-08-2020,22285.90
20-08-2020,21999.45
21-08-2020,22299.60
24-08-2020,22833.00
25-08-2020,23092.15
26-08-2020,23414.20
27-08-2020,23600.35
28-08-2020,24523.80
31-08-2020,23754.35
01-09-2020,23812.00
02-09-2020,23874.55
03-09-2020,23530.85
04-09-2020,23011.50
07-09-2020,22945.05
08-09-2020,22744.40
09-09-2020,22267.00
10-09-2020,22466.20
11-09-2020,22479.95
14-09-2020,22101.25
15-09-2020,22465.65
16-09-2020,22573.55
17-09-2020,22320.35
18-09-2020,22031.05
21-09-2020,21366.80
22-09-2020,21139.10
23-09-2020,21178.50
24-09-2020,20456.85
25-09-2020,20982.35
28-09-2020,21665.50
29-09-2020,21411.30
30-09-2020,21451.80
01-10-2020,22246.00
05-10-2020,22370.95
06-10-2020,22853.70
07-10-2020,22964.80
08-10-2020,23191.35
09-10-2020,23846.80
12-10-2020,23712.80
13-10-2020,23492.20
14-10-2020,23874.65
15-10-2020,23072.40
16-10-2020,23533.25
19-10-2020,24266.75
20-10-2020,24311.80
21-10-2020,24635.05
22-10-2020,24484.15
23-10-2020,24478.30
26-10-2020,24075.45
27-10-2020,24769.50
28-10-2020,24232.50
29-10-2020,24092.00
30-10-2020,23900.90
02-11-2020,24892.50
03-11-2020,25682.80
04-11-2020,25771.60
05-11-2020,26313.10
06-11-2020,26798.95
09-11-2020,27534.10
10-11-2020,28606.00
11-11-2020,28845.00
12-11-2020,28278.80
13-11-2020,28465.70
14-11-2020,28594.30
17-11-2020,29181.30
18-11-2020,29749.85
19-11-2020,28903.05
20-11-2020,29236.00
23-11-2020,29024.20
24-11-2020,29737.25
25-11-2020,29196.40
26-11-2020,29549.75
27-11-2020,29609.05
01-12-2020,29817.85
02-12-2020,29463.15
03-12-2020,29448.75
04-12-2020,30052.40
07-12-2020,30211.55
08-12-2020,30261.90
09-12-2020,30709.40
10-12-2020,30510.35
11-12-2020,30604.85
14-12-2020,30745.90
15-12-2020,30691.05
16-12-2020,30698.40
17-12-2020,30847.05
18-12-2020,30714.65
21-12-2020,29456.45
22-12-2020,29625.95
23-12-2020,29883.30
24-12-2020,30402.20
28-12-2020,30880.95
29-12-2020,31322.50
30-12-2020,31303.05
31-12-2020,31264.05
01-01-2021,31225.85
04-01-2021,31212.45
05-01-2021,31722.25
06-01-2021,31797.90
07-01-2021,31956.00
08-01-2021,32084.20
11-01-2021,31998.90
12-01-2021,32339.00
13-01-2021,32574.65
14-01-2021,32519.75
15-01-2021,32246.80
18-01-2021,31811.75
19-01-2021,32424.85
20-01-2021,32543.70
21-01-2021,32186.90
22-01-2021,31167.25
25-01-2021,31198.40
27-01-2021,30284.55
28-01-2021,30358.30
29-01-2021,30565.50
01-02-2021,33089.05
02-02-2021,34267.90
03-02-2021,34758.45
04-02-2021,35344.80
05-02-2021,35654.50
08-02-2021,35983.65
09-02-2021,36056.50
10-02-2021,35783.10
11-02-2021,35752.10
12-02-2021,36108.90
15-02-2021,37306.25
16-02-2021,37098.40
17-02-2021,36910.95
18-02-2021,36587.00
19-02-2021,35841.60
22-02-2021,35257.20
23-02-2021,35116.95
24-02-2021,36452.30
25-02-2021,36549.00
26-02-2021,34803.60
01-03-2021,35296.00
02-03-2021,35419.70
03-03-2021,36368.05
04-03-2021,35802.50
05-03-2021,35228.15
08-03-2021,35275.75
09-03-2021,35865.65
10-03-2021,35938.30
12-03-2021,35496.65
15-03-2021,35182.55
16-03-2021,34804.60
17-03-2021,34229.25
18-03-2021,33856.80
19-03-2021,34161.60
22-03-2021,33603.45
23-03-2021,34184.40
24-03-2021,33293.25
25-03-2021,33006.45
26-03-2021,33318.20
30-03-2021,33875.10
31-03-2021,33303.90
01-04-2021,33858.00
05-04-2021,32678.85
06-04-2021,32501.35
07-04-2021,32991.20
08-04-2021,32782.85
09-04-2021,32448.05
12-04-2021,30792.00
13-04-2021,31771.60
15-04-2021,32112.85
16-04-2021,31977.45
19-04-2021,31208.40
20-04-2021,31112.70
22-04-2021,31782.60
23-04-2021,31722.30
26-04-2021,32275.15
27-04-2021,32735.35
28-04-2021,33722.80
29-04-2021,33714.50
30-04-2021,32781.80
03-05-2021,32465.75
04-05-2021,32270.35
05-05-2021,32783.70
06-05-2021,32827.80
07-05-2021,32904.50
10-05-2021,33142.40
11-05-2021,32872.20
12-05-2021,32452.30
14-05-2021,32169.55
17-05-2021,33459.25
18-05-2021,33922.40
19-05-2021,33685.20
20-05-2021,33334.55
21-05-2021,34606.90
24-05-2021,34943.60
25-05-2021,34662.00
26-05-2021,34684.20
27-05-2021,35095.05
28-05-2021,35141.45
31-05-2021,35526.65
01-06-2021,35337.20
02-06-2021,35373.75
03-06-2021,35649.00
04-06-2021,35291.65
07-06-2021,35443.65
08-06-2021,35085.30
09-06-2021,34800.50
10-06-2021,35131.20
11-06-2021,35047.40
14-06-2021,34950.60
15-06-2021,35247.75
16-06-2021,35003.50
17-06-2021,34605.40
18-06-2021,34558.00
21-06-2021,34871.30
22-06-2021,34745.00
23-06-2021,34574.00
24-06-2021,34827.00
25-06-2021,35364.65
28-06-2021,35359.45
29-06-2021,35010.30
30-06-2021,34772.20
01-07-2021,34684.00
02-07-2021,34809.90
05-07-2021,35212.00
06-07-2021,35579.15
07-07-2021,35771.30
08-07-2021,35274.10
09-07-2021,35071.95
12-07-2021,35198.90
13-07-2021,35673.40
14-07-2021,35668.25
15-07-2021,35907.65
16-07-2021,35751.80
19-07-2021,35079.20
20-07-2021,34415.45
22-07-2021,34677.30
23-07-2021,35034.40
26-07-2021,34949.70
27-07-2021,34797.45
28-07-2021,34532.90
29-07-2021,34691.50
30-07-2021,34584.35
02-08-2021,34710.00
03-08-2021,35207.45
04-08-2021,36028.05
05-08-2021,35834.75
06-08-2021,35809.25
09-08-2021,36028.95
10-08-2021,36034.10
11-08-2021,35806.40
12-08-2021,35937.05
13-08-2021,36169.35
16-08-2021,36094.50
17-08-2021,35867.45
18-08-2021,35554.50
20-08-2021,35033.85
23-08-2021,35124.40
24-08-2021,35712.10
25-08-2021,35586.25
26-08-2021,35617.55
27-08-2021,35627.80
30-08-2021,36347.65
31-08-2021,36424.60
01-09-2021,36574.30
02-09-2021,36831.30
03-09-2021,36761.15
06-09-2021,36592.35
07-09-2021,36468.80
08-09-2021,36768.20
09-09-2021,36683.20
13-09-2021,36471.80
14-09-2021,36613.05
15-09-2021,36852.25
16-09-2021,37668.60
17-09-2021,37811.95
20-09-2021,37145.70
21-09-2021,37235.85
22-09-2021,36944.65
23-09-2021,37771.70
24-09-2021,37830.30
27-09-2021,38171.25
28-09-2021,37945.00
29-09-2021,37743.00
30-09-2021,37425.10
01-10-2021,37225.90
04-10-2021,37579.65
05-10-2021,37741.00
06-10-2021,37521.55
07-10-2021,37753.20
08-10-2021,37775.25
11-10-2021,38293.80
12-10-2021,38521.50
13-10-2021,38635.75
14-10-2021,39340.90
18-10-2021,39684.80
19-10-2021,39540.50
20-10-2021,39518.20
21-10-2021,40030.20
22-10-2021,40323.65
25-10-2021,41192.40
26-10-2021,41238.30
27-10-2021,40874.35
28-10-2021,39508.95
29-10-2021,39115.60
01-11-2021,39763.75
02-11-2021,39938.45
03-11-2021,39402.05
